"ID (company, number)",Color,L,A,B,C,M,Y,K,R,G,B,Marking,Missing,Group
B57,,44.12,5.84,6.58,50,54,56,21,118,101,94,26,,9
B58,,39.72,-2.87,4.99,61,51,60,28,92,95,85,26 1/2,,9
B59,,65.93,-8.72,10.82,43,27,48,1,152,164,141,88,,9
B60,,57.74,-11.59,3.83,56,32,49,5,119,144,132,87,,9
B61,,52.67,-13.61,5.49,62,35,56,10,104,132,116,89,,9
B62,,49.52,-1.41,7.03,53,45,55,14,120,118,106,134,,9
B63,,40.5,1.87,8.41,54,53,62,28,104,94,82,72,,9
B64,,33.46,2.2,-3.34,66,61,52,33,80,78,84,3,,9
B65,,47.06,-0.54,1.27,57,48,50,16,112,112,109,3 1/2,,9
B66,,54.28,0.94,2.39,49,43,45,8,133,129,126,4,,9
B67,,65.26,-0.11,3.39,39,33,37,1,161,158,152,4 1/2,,9
B68,,67.79,0.3,4.7,36,31,36,0,169,165,157,4 3/4,,9
B69,,70.37,-0.99,2.89,34,27,31,0,173,172,167,5,,9
B70,,65,-11.47,-8.42,53,24,29,0,125,164,172,34,,9
B71,,65.34,-14.62,-5.13,55,22,33,0,123,167,167,34 1/2,,9
B72,,57.72,-14.62,-13.29,67,30,31,1,91,147,161,101,,9
B73,,84.1,2.59,46.86,4,18,62,0,242,206,120,38,,10
B74,,83.54,3.23,54.97,4,19,71,0,244,203,102,38 1/2,,10
B75,,80.41,9.21,68.36,2,26,87,0,248,191,63,67,,10
B76,,76.99,11.92,70.08,4,31,93,0,242,179,49,68,,10
B77,,68.35,1.98,-4.87,37,31,24,0,166,166,175,169,,10
B78,,59.77,2.12,-5.88,47,39,31,1,143,143,154,136,,10
B79,,38.54,2.18,-5.63,65,58,47,23,90,90,100,174,,10
B80,,62.34,0.37,11.57,39,36,49,3,160,150,130,129,,10
B81,,55.34,7.06,5.03,42,47,45,7,148,128,124,135,,10
B82,,77.48,-8.75,-3.58,34,13,20,0,170,197,198,13 1/2,,10
B83,,72.35,-10.95,-9.4,44,16,20,0,145,184,194,53,,10
B84,,66.86,-12.76,-12.37,54,21,23,0,122,170,184,13,,10
B85,,66.21,-12.57,-12.81,55,22,23,0,120,169,183,13 3/4,,10
B86,,34.35,2.94,-34.62,95,73,21,6,34,82,136,108,,10
B87,,24.19,4.39,-24.94,95,82,37,27,36,57,95,49,,10
B88,,54.5,-12.1,19.85,53,33,70,11,122,135,96,172,,10
B89,,56.37,-9.89,12.71,53,34,60,8,126,140,113,173,,10
B90,,43.05,-12.64,-18.49,84,48,36,10,47,109,132,42,,10
B91,,50.72,6.29,17.4,41,49,65,15,142,116,91,10,,11
B92,,38.49,5.11,14.4,49,56,71,32,107,87,68,10 1/4,,11
B93,,32.52,7.21,14.27,49,61,74,42,95,72,54,10 1/2,,11
B94,,25.8,5.26,10.79,54,63,73,54,75,58,45,10 3/4,,11
B95,,22.71,3.49,4.5,61,64,67,58,62,52,48,46,,11
B96,,67.38,20.48,2.59,21,45,26,0,202,151,160,52,,11
B97,,60.28,26.67,-3.39,27,57,24,0,188,128,152,51,,11
B98,,73.37,-12.96,20.48,36,16,52,0,171,186,142,33    ,,11
B99,,67.99,-14.85,27.87,42,21,67,1,157,172,115,33 1/2,,11
B100,,50.5,-16.48,24.1,60,34,80,15,106,127,78,39 1/2,,11
B101,,44.59,-15.22,10.39,67,39,69,21,85,112,88,36 1/2,,11
B102,,38.21,-9.52,20.57,61,45,84,33,86,94,56,36,,11
B103,,55.65,7.48,17.04,37,46,60,9,157,128,104,70,,11
B104,,50.66,6.47,9.79,44,50,55,13,138,116,104,71,,11
