"ID (company, number)	",Card_Name,L_star,A_star,B_star,R,G,B
TCCA11,TCCA 1929,55.8,-6.2,-2.9,120,137,138
TCCA12,TCCA 1929,47.6,-6.5,-3.7,98,116,119
TCCA13,TCCA 1929,66.1,-0.7,-0.7,159,161,162
TCCA14,TCCA 1929,49.7,-1.9,-14.9,104,120,143
TCCA15,TCCA 1929,33.5,3.7,-22.1,69,78,114
TCCA16,TCCA 1929,31,3.9,-27.3,57,72,116
TCCA17,TCCA 1929,74.6,15.9,10.6,217,173,165
TCCA18,TCCA 1929,69.3,27.9,8.4,220,150,155
TCCA19,TCCA 1929,54.7,34.4,9.4,188,106,117
TCCA20,TCCA 1929,39.5,33.8,10.8,145,68,77
TCCA21,TCCA 1929,65.2,14,14.6,189,149,133
TCCA22,TCCA 1929,51.4,15.7,17.1,155,112,94
TCCA23,TCCA 1929,28.3,15.4,9.2,92,57,53
TCCA24,TCCA 1929,70.3,5.8,14.9,190,168,145
TCCA25,TCCA 1929,64.8,5.7,15.2,175,153,130
TCCA26,TCCA 1929,56.5,7.2,16.7,156,131,107
TCCA27,TCCA 1929,49.2,8.4,13.1,137,111,95
TCCA28,TCCA 1929,71.9,-6.8,20.5,175,179,138
TCCA29,TCCA 1929,66.3,22.8,116.4,154,166,124
TCCA30,TCCA 1929,59.2,-11.9,18.8,131,148,109
TCCA31,TCCA 1929,47.2,-7.7,10.9,104,116,93
TCCA32,TCCA 1929,66.8,18.2,38.8,208,149,93
TCCA33,TCCA 1929,50.8,28.1,39.8,176,101,53
TCCA34,TCCA 1929,45.9,26.8,34.9,159,90,51
TCCA35,TCCA 1929,60.1,-5.3,-2.7,133,148,150
TCCA36,TCCA 1929,48.2,-7.3,-23.6,78,119,154
TCCA37,TCCA 1929,29.5,-1.9,-25.1,42,72,108
TCCA38,TCCA 1929,54.4,35.2,20.9,192,104,96
TCCA39,TCCA 1929,41.5,35.7,18.4,155,71,70
TCCA40,TCCA 1929,32.6,30,15.7,123,55,54
TCCA41,TCCA 1929,64.8,3.7,7.1,168,155,145
TCCA42,TCCA 1929,58.8,0.9,4.5,146,141,134
TCCA43,TCCA 1929,53.1,2.4,5,134,125,118
TCCA44,TCCA 1929,38.5,60.2,31.7,177,16,44
TCCA45,TCCA 1929,28.3,50.1,23.2,135,5,35
TCCA46,TCCA 1929,70,6.4,21.4,193,166,132
TCCA47,TCCA 1929,67.8,6.2,19,186,161,131
TCCA48,TCCA 1929,65.5,11.3,21.8,189,151,120
TCCA49,TCCA 1929,58.5,-7.2,4.9,130,144,132
TCCA50,TCCA 1929,50.4,-6.9,4.8,110,123,111
TCCA51,TCCA 1929,41.3,-7.5,3.4,86,101,92
TCCA52,TCCA 1929,48.1,15.1,20,146,104,81
TCCA53,TCCA 1929,38.9,15.9,17.6,122,81,64
TCCA54,TCCA 1929,26.2,10.6,9.6,81,56,48
TCCA55,TCCA 1929,16.6,2.6,-15.9,34,41,64
TCCA56,TCCA 1929,15.7,1.9,-13,33,39,58
TCCA57,TCCA 1929,56.9,-3.9,-14.7,118,139,162
TCCA58,TCCA 1929,50.3,-5.4,-20.3,92,124,154
TCCA59,TCCA 1929,34.5,-1.8,-25.4,55,83,122
TCCA60,TCCA 1929,61.6,33.8,0.5,204,125,149
TCCA61,TCCA 1929,46.6,39.1,-0.1,169,81,112
TCCA62,TCCA 1929,68.6,8,3.2,183,162,162
TCCA63,TCCA 1929,51.3,5.8,1.6,133,119,120
TCCA64,TCCA 1929,69.2,20.3,-1.3,204,156,175
TCCA65,TCCA 1929,62.8,29.9,-9.8,197,132,171
TCCA66,TCCA 1929,80.3,-3.6,44,213,200,115
TCCA67,TCCA 1929,74.1,-0.3,46.2,202,181,94
TCCA68,TCCA 1929,76.9,7.4,31.2,218,184,132
TCCA69,TCCA 1929,72.6,13,36.9,216,168,110
TCCA70,TCCA 1929,66.9,25.8,47.1,221,144,77
TCCA71,TCCA 1929,47.4,49.3,27.9,191,70,69
TCCA72,TCCA 1929,42.3,48.4,28.7,175,57,56
TCCA73,TCCA 1929,77.3,-9.4,13.3,181,196,166
TCCA74,TCCA 1929,67.7,-15.9,7.4,138,173,151
TCCA75,TCCA 1929,60.8,49,8.5,226,107,134
TCCA76,TCCA 1929,56.3,53.3,6.2,218,90,127
TCCA77,TCCA 1929,72.3,12.8,14.4,207,169,152
TCCA78,TCCA 1929,60.6,15.8,14.7,180,136,121
CB1,Cheney Brothers 1931,79.4,0.8,10.3,204,196,178
CB2,Cheney Brothers 1931,69.8,18.1,13,208,158,148
CB3,Cheney Brothers 1931,66.9,16.9,21.7,201,151,125
CB4,Cheney Brothers 1931,59,-14.7,-5.4,108,150,151
CB5,Cheney Brothers 1931,69.5,7.1,13.5,190,165,146
CB6,Cheney Brothers 1931,66.3,-4.4,22.9,165,163,120
CB7,Cheney Brothers 1931,49.2,5.9,-8.9,122,114,132
CB8,Cheney Brothers 1931,62.4,4.3,4,161,148,144
CB9,Cheney Brothers 1931,59,18.3,12.9,178,130,120
CB10,Cheney Brothers 1931,59.3,-7.7,5.2,131,147,133
CB11,Cheney Brothers 1931,6.35,9.3,23,180,147,113
CB12,Cheney Brothers 1931,44.2,-15.9,-13.6,58,113,127
CB13,Cheney Brothers 1931,53.4,29.1,25,182,107,86
CB14,Cheney Brothers 1931,52.2,-10.1,29.1,120,129,73
CB15,Cheney Brothers 1931,37.4,2.5,-27.4,70,88,132
CB16,Cheney Brothers 1931,57.1,9.4,12.5,159,131,116
CB17,Cheney Brothers 1931,42.2,-5.3,-2.3,89,102,103
CB18,Cheney Brothers 1931,54.3,5.9,5.2,143,126,121
CB19,Cheney Brothers 1931,42.8,-5.4,-11.5,82,104,120
CB20,Cheney Brothers 1931,41.7,-27,0.2,33,110,97
CB21,Cheney Brothers 1931,43.9,41,28.6,170,71,59
CB22,Cheney Brothers 1931,27.5,4.6,-24.8,53,64,103
CB23,Cheney Brothers 1931,49.9,18.9,30.1,159,106,68
CB24,Cheney Brothers 1931,36.9,17.5,16.7,119,75,61
CB25,Cheney Brothers 1931,27.4,18.9,-25.4,78,55,104
CB26,Cheney Brothers 1931,33,45,21.7,142,37,47
CB27,Cheney Brothers 1931,33.3,-14.1,6.2,56,84,68
CB28,Cheney Brothers 1931,28.9,-2.8,6.2,67,69,59
CB29,Cheney Brothers 1931,35.6,37.1,7.1,137,55,74
CB30,Cheney Brothers 1931,35.7,-0.5,-13.8,73,85,106
CB31,Cheney Brothers 1931,29.1,21,14.5,102,55,47
ABCLS1,ABC Linda Satin 1949,94.6,0.2,5.5,244,239,229
ABCLS2,ABC Linda Satin 1949,86,11.6,2.2,240,209,213
ABCLS3,ABC Linda Satin 1949,70.3,-14.6,-18.7,123,181,205
ABCLS4,ABC Linda Satin 1949,80.5,1.4,4.4,203,199,197
ABCLS5,ABC Linda Satin 1949,50.3,2.3,-3.1,122,118,125
ABCLS6,ABC Linda Satin 1949,60.9,3.3,9.7,158,145,130
ABCLS7,ABC Linda Satin 1949,43.5,34.1,228.3,0,114,144
ABCLS8,ABC Linda Satin 1949,61.2,-11.8,-10.2,116,155,165
ABCLS9,ABC Linda Satin 1949,74.9,1.3,41.1,205,182,107
ABCLS10,ABC Linda Satin 1949,69.7,18.2,22.4,212,158,131
ABCLS11,ABC Linda Satin 1949,59.3,2.6,37.8,163,140,75
ABCLS12,ABC Linda Satin 1949,36.8,7.4,6.2,96,84,77
ABCLS13,ABC Linda Satin 1949,25.8,-11.7,0.5,40,66,60
ABCLS14,ABC Linda Satin 1949,43,15.5,2,127,92,99
ABCLS15,ABC Linda Satin 1949,18.9,15.1,6.1,68,37,38
ABCLS16,ABC Linda Satin 1949,32,11.9,-14.3,86,69,98
ABCLS17,ABC Linda Satin 1949,15.8,4.5,-24.1,26,38,74
ABCLS18,ABC Linda Satin 1949,18.9,15.1,6.1,68,37,38
ABCLS19,ABC Linda Satin 1949,12.1,13.6,-18.1,40,25,57
ABCLS20,ABC Linda Satin 1949,20.2,-18.5,2.6,10,56,44
ABCLS21,ABC Linda Satin 1949,23.5,0,-6.1,52,56,65
ABCLS22,ABC Linda Satin 1949,36.3,-14.4,-11.8,44,92,104
ABCLS23,ABC Linda Satin 1949,32.2,7.9,40.8,87,72,68
ABCLS24,ABC Linda Satin 1949,25.7,-10,-0.3,43,65,61
ABCLS25,ABC Linda Satin 1949,42.1,62.4,33.4,191,27,50
ABCLS26,ABC Linda Satin 1949,31.5,2.3,-18.5,65,74,103
ABCLS27,ABC Linda Satin 1949,24.5,2.3,5.2,59,57,66
ABCT1,ABC TOPALL 1949,86.1,-0.5,5,217,215,206
ABCT2,ABC TOPALL 1949,51.2,0.8,0,123,122,122
ABCT3,ABC TOPALL 1949,34.6,-21.6,10.4,45,90,64
ABCT4,ABC TOPALL 1949,38.7,-3.3,-26.8,59,94,134
ABCT5,ABC TOPALL 1949,26.5,21.6,10.9,96,49,47
ABCT6,ABC TOPALL 1949,30,-12.8,1,48,76,69
ABCT7,ABC TOPALL 1949,24.3,-0.6,-24,34,59,94
ABCT8,ABC TOPALL 1949,37.3,54.5,28.5,167,31,46
ABCT9,ABC TOPALL 1949,30,14.8,-17,84,63,97
ABCT10,ABC TOPALL 1949,20.5,-8.6,0.8,35,53,48
ABCT11,ABC TOPALL 1949,23.4,29.2,7.3,95,34,46
ABCT12,ABC TOPALL 1949,32.7,-18.1,-8.4,27,85,89
ABCT13,ABC TOPALL 1949,17.7,5,3.9,52,41,38
ABCT14,ABC TOPALL 1949,15.7,3.4,-12.9,36,38,58
ABCT15,ABC TOPALL 1949,13.2,0.8,-1.9,34,34,37
ABCT16,ABC TOPALL 1949,81.9,4,43.1,224,202,121
ABCT17,ABC TOPALL 1949,52.6,-6.3,-21.9,94,130,163
ABCT18,ABC TOPALL 1949,58.5,2.9,-2.6,144,139,145
ABCT19,ABC TOPALL 1949,60.2,35.8,4.2,204,119,139
ABCT20,ABC TOPALL 1949,67.2,-9.4,39.6,165,168,90
ABCT21,ABC TOPALL 1949,59.3,-14.4,10.5,121,150,123
ABCT22,ABC TOPALL 1949,68.4,11.2,80.3,176,165,147
ABCFB1,ABC FB 1949,84.2,-0.1,8.8,215,210,193
ABCFB2,ABC FB 1949,75.9,11.8,9.5,214,179,170
ABCFB3,ABC FB 1949,63.5,-5.5,-16.4,130,158,183
ABCFB4,ABC FB 1949,43.5,-0.8,-31.7,71,105,155
ABCFB5,ABC FB 1949,80.4,5.1,38.1,226,195,128
ABCFB6,ABC FB 1949,70.7,-16.7,5.8,143,182,162
ABCFB7,ABC FB 1949,67.5,11,-6.1,180,158,176
ABCFB8,ABC FB 1949,43.5,-0.8,-31.7,71,105,155
ABCFB9,ABC FB 1949,6937,4.1,14.4,185,167,144
ABCFB10,ABC FB 1949,66.4,-15.1,-7,125,170,173
ABCFB11,ABC FB 1949,62.8,33.5,36,204,133,118
ABCFB12,ABC FB 1949,29.1,0.5,-35.8,25,70,124
ABCFB13,ABC FB 1949,37.7,60.4,30.4,175,10,45
ABCFB14,ABC FB 1949,40.9,-28.9,-2.8,7,109,100
ABCFB15,ABC FB 1949,40.5,31.1,24.9,148,73,57
ABCFB16,ABC FB 1949,44.8,-11.4,-24.9,54,113,147
ABCFB17,ABC FB 1949,59.9,-0.7,-0.8,143,145,146
ABCFB18,ABC FB 1949,29.3,8.8,9.8,86,64,54
ABCFB19,ABC FB 1949,29.7,-15,-1.3,40,77,71
ABCFB20,ABC FB 1949,17.9,20.6,-1,70,31,46
ABCFB21,ABC FB 1949,19,1.9,-16.2,38,46,70
ABCFB22,ABC FB 1949,15.8,0.5,-0.8,40,39,40
ABCWF1,ABC Wearproof Serge 1949,32.4,-11.4,-15.5,37,82,100
ABCWF2,ABC Wearproof Serge 1949,55.7,10.3,17.1,158,126,104
ABCWF3,ABC Wearproof Serge 1949,83.4,1.5,7.7,215,207,193
ABCWF4,ABC Wearproof Serge 1949,66.8,19.1,9.4,200,150,147
ABCWF5,ABC Wearproof Serge 1949,58.3,-7.8,-22.4,105,145,179
ABCWF6,ABC Wearproof Serge 1949,79.3,2.3,30.8,216,194,139
ABCWF7,ABC Wearproof Serge 1949,60.5,-17.8,-8.2,101,156,160
ABCWF8,ABC Wearproof Serge 1949,43.7,61.5,27.9,194,36,62
ABCWF9,ABC Wearproof Serge 1949,67.7,2.1,-1.3,168,164,167
ABCWF10,ABC Wearproof Serge 1949,51.6,4,0.7,130,121,124
ABCWF11,ABC Wearproof Serge 1949,48,907,-0.04,130,108,115
ABCWF12,ABC Wearproof Serge 1949,44.2,-13.8,7.7,84,111,91
ABCWF13,ABC Wearproof Serge 1949,44.5,-3.3,-15.9,87,108,132
ABCWF14,ABC Wearproof Serge 1949,27.1,-8.2,0.3,50,68,63
ABCWF15,ABC Wearproof Serge 1949,67.9,7.1,17.4,187,160,134
ABCWF16,ABC Wearproof Serge 1949,59.5,11.3,19.5,171,136,110
ABCWF17,ABC Wearproof Serge 1949,46.3,3.5,3.5,117,108,104
ABCWF18,ABC Wearproof Serge 1949,39.8,97.1,6.1,108,90,84
ABCWF19,ABC Wearproof Serge 1949,37.1,47.9,14.5,156,44,67
ABCWF20,ABC Wearproof Serge 1949,29.8,-0.3,31.4,36,72,119
ABCWF21,ABC Wearproof Serge 1949,37.1,-9.4,-14.6,56,93,111
ABCWF22,ABC Wearproof Serge 1949,40,32,11.1,144,71,78
ABCWF23,ABC Wearproof Serge 1949,39.3,-30.2,12.2,31,105,71
ABCWF24,ABC Wearproof Serge 1949,28.4,17,12.9,92,57,62
ABCWF25,ABC Wearproof Serge 1949,20.7,2.2,-9.7,47,49,64
ABCWF26,ABC Wearproof Serge 1949,14.9,0,-1.8,37,38,40
ABCN1,ABC NUQT 1959,56,-5.7,-21,105,138,170
ABCN2,ABC NUQT 1959,86.9,-0.4,5.8,221,218,207
ABCN3,ABC NUQT 1959,73.7,18.9,10.9,220,168,162
ABCN4,ABC NUQT 1959,56,-5.7,-21,105,138,170
ABCN5,ABC NUQT 1959,79.8,2,11.9,208,196,176
ABCN6,ABC NUQT 1959,80.2,2.8,53.1,226,195,96
ABCN7,ABC NUQT 1959,71,-0.6,4.3,175,174,166
ABCN8,ABC NUQT 1959,61,-16.8,-13.8,99,156,171
ABCN9,ABC NUQT 1959,54.6,-0.4,0.5,130,131,130
ABCN10,ABC NUQT 1959,53.4,55.8,24.3,217,78,90
ABCN11,ABC NUQT 1959,38.7,10.7,-22.1,94,86,127
ABCN12,ABC NUQT 1959,69.6,10.9,42.1,206,162,93
ABCN13,ABC NUQT 1959,48,59.7,32.4,206,55,64
ABCN14,ABC NUQT 1959,41.4,13.2,14.9,124,89,74
ABCN15,ABC NUQT 1959,44.4,-20.1,11.6,73,114,85
ABCN16,ABC NUQT 1959,41.3,63.9,36.2,191,16,43
ABCN17,ABC NUQT 1959,18.9,10.7,-34.5,32,42,97
ABCN18,ABC NUQT 1959,31.3,1.2,-3.9,73,73,80
ABCN19,ABC NUQT 1959,27.6,-13,1.4,42,71,63
ABCN20,ABC NUQT 1959,24.7,7,5.8,71,55,50
ABCN21,ABC NUQT 1959,17.3,1.7,-12.5,37,42,61
ABCN22,ABC NUQT 1959,15.7,0,-0.7,39,39,40
ABCFP1,ABC FP 1959,42.4,65.8,34.8,196,13,48
ABCFP2,ABC FP 1959,85.5,0,4.9,217,214,204
ABCFP3,ABC FP 1959,78.1,16.9,9.3,228,182,177
ABCFP4,ABC FP 1959,63.7,-3,-17.4,135,157,185
ABCFP5,ABC FP 1959,82.3,1.5,43.6,228,202,121
ABCFP6,ABC FP 1959,75.6,-14,6.3,162,194,174
ABCFP7,ABC FP 1959,67.3,32.2,11.7,219,142,154
ABCFP8,ABC FP 1959,49.9,28.9,261.6,84,122,167
ABCFP9,ABC FP 1959,71.8,-17.6,17.7,152,185,143
ABCFP10,ABC FP 1959,71.6,7.4,-8.4,184,171,191
ABCFP11,ABC FP 1959,67.2,-17.8,-6.2,120,173,174
ABCFP12,ABC FP 1959,63.9,0.6,2.3,157,154,151
ABCFP13,ABC FP 1959,51.6,-17.2,1.3,89,132,120
ABCFP14,ABC FP 1959,58.8,12.9,-11.6,157,134,162
ABCFP15,ABC FP 1959,36.1,2.6,-35.8,54,86,143
ABCFP16,ABC FP 1959,77,14.2,55.6,236,179,84
ABCFP17,ABC FP 1959,56.1,44.8,4.2,205,100,129
ABCFP18,ABC FP 1959,72.6,3.6,11.9,191,175,157
ABCFP19,ABC FP 1959,71.6,-5.5,50.2,187,177,79
ABCFP20,ABC FP 1959,51.3,64.3,44.5,224,56,51
ABCFP21,ABC FP 1959,49.7,-6.9,22.2,117,121,80
ABCFP22,ABC FP 1959,53,-14.3,-16.3,81,134,154
ABCFP23,ABC FP 1959,43.5,65.4,33.1,199,22,54
ABCFP24,ABC FP 1959,49,-33.6,20.2,56,131,80
ABCFP25,ABC FP 1959,36.5,2.2,-3.8,87,85,92
ABCFP26,ABC FP 1959,26.3,6.8,-37.1,36,61,119
ABCFP27,ABC FP 1959,35.1,59.3,26.5,165,0,45
ABCFP28,ABC FP 1959,27.8,25.8,-31.4,85,51,115
ABCFP29,ABC FP 1959,35.1,-18.2,-2.9,42,91,86
ABCFP30,ABC FP 1959,24.1,11,31.8,73,52,49
ABCFP31,ABC FP 1959,21,17.6,283.1,45,49,76
ABCFP32,ABC FP 1959,14.8,0.9,-0.5,38,37,38
ABCTT1,ABC TT 1959,55,-23.4,-25.9,25,144,176
ABCTT2,ABC TT 1959,85.2,0.4,4.5,216,212,204
ABCTT3,ABC TT 1959,76.9,12.8,4.5,216,181,182
ABCTT4,ABC TT 1959,66.1,-3.7,-21.1,136,164,198
ABCTT5,ABC TT 1959,82.3,3,8.1,215,203,190
ABCTT6,ABC TT 1959,69.6,-12.6,-10.8,135,178,189
ABCTT7,ABC TT 1959,72.6,14.6,-9.7,199,169,196
ABCTT8,ABC TT 1959,67,32.4,1.6,218,140,162
ABCTT9,ABC TT 1959,66.1,-9,9.8,150,165,143
ABCTT10,ABC TT 1959,86,2,39.8,238,212,139
ABCTT11,ABC TT 1959,57,1.7,-28.4,117,137,186
ABCTT12,ABC TT 1959,50.6,16.3,13.8,153,110,98
ABCTT13,ABC TT 1959,55,-23.4,-25.9,25,144,176
ABCTT14,ABC TT 1959,50.7,13.6,-18.8,132,113,153
ABCTT15,ABC TT 1959,49.2,59.9,5.1,204,60,111
ABCTT16,ABC TT 1959,52.5,-14.1,22.4,111,132,86
ABCTT17,ABC TT 1959,49.3,60.1,25.5,210,59,78
ABCTT18,ABC TT 1959,25.9,19.9,-26,75,51,101
ABCTT19,ABC TT 1959,59.3,7.5,6.5,159,138,132
ABCTT20,ABC TT 1959,65.9,0,-1.8,159,160,163
ABCTT21,ABC TT 1959,24,2,-16.2,49,57,82
ABCTT22,ABC TT 1959,18.1,0.3,-1.4,44,44,46
IH1,Indian Head 1959,42.3,-3.3,-22.4,74,103,136
IH2,Indian Head 1959,46.9,45.6,32.5,185,73,60
IH3,Indian Head 1959,71.4,-15.2,40.9,166,182,97
IH4,Indian Head 1959,33.9,16,13.5,108,70,59
IH5,Indian Head 1959,68,-13,-6,134,173,176
IH6,Indian Head 1959,77.8,3,10.8,204,190,172
IH7,Indian Head 1959,33.4,7.4,-30.4,67,76,127
IH8,Indian Head 1959,65.1,7.6,38.6,187,152,88
IH9,Indian Head 1959,39.9,63.9,35.7,186,4,41
IH10,Indian Head 1959,28.8,0.5,193.2,68,68,69
IH11,Indian Head 1959,51.4,-14.3,12.6,103,129,100
IH12,Indian Head 1959,58.1,5.1,10.4,154,136,122
IH13,Indian Head 1959,77.6,2.3,55.4,218,188,84
IH14,Indian Head 1959,45.4,51.9,24.4,187,61,70
IH15,Indian Head 1959,18.4,2.9,-14.6,40,44,66
IH16,Indian Head 1959,41.5,-36.1,9.6,0,113,80
IH17,Indian Head 1959,57.9,-3.9,-24,111,142,181
IH18,Indian Head 1959,66.7,26.6,16.9,214,143,133
IH19,Indian Head 1959,60.1,28,155.3,100,157,123
IH20,Indian Head 1959,25.8,7.7,-37.9,36,59,119
IH21,Indian Head 1959,38.4,-12.2,17.9,78,96,60
IH22,Indian Head 1959,49.2,7.5,266.6,111,117,129
IH23,Indian Head 1959,60.3,33.7,5.9,202,121,137
IH24,Indian Head 1959,54.8,-7.4,-5.1,114,135,140
IH25,Indian Head 1959,67.5,0.1,1.5,166,164,162
IH26,Indian Head 1959,48.3,-19.4,-18.6,47,125,145
IH27,Indian Head 1959,77,16.8,3.5,222,179,184
IH28,Indian Head 1959,26.7,36.8,5.2,112,33,57
IH29,Indian Head 1959,70,6.2,15.8,191,167,143
IH30,Indian Head 1959,60.3,-11.3,2.5,125,151,141
IH31,Indian Head 1959,54,42.3,20.5,200,96,96
IH32,Indian Head 1959,34.2,-13.7,0.9,55,87,79
IH33,Indian Head 1959,64.1,-8.8,1.7,139,160,152
IH34,Indian Head 1959,44.6,12.9,12.6,131,97,85
IH35,Indian Head 1959,39.2,2.9,-35.3,64,93,150
IH36,Indian Head 1959,78.1,5.8,37.1,221,188,124
IH37,Indian Head 1959,33.1,55,27.5,155,9,39
IH38,Indian Head 1959,62,0.6,-0.6,151,150,151
IH39,Indian Head 1959,57.8,-16.9,-7.8,97,148,152
IH40,Indian Head 1959,24.2,15,9.3,81,48,44
IH41,Indian Head 1959,82.4,1.3,7.7,212,204,191
IH42,Indian Head 1959,70.4,12.6,47.1,212,163,85
IH43,Indian Head 1959,69.2,8.4,-3.7,182,164,176
IH44,Indian Head 1959,24.3,15.8,-20.8,69,50,89
IH45,Indian Head 1959,57.8,-30,-2.4,64,153,142
IH46,Indian Head 1959,59.3,11.5,16.1,170,135,115
IH47,Indian Head 1959,41.3,-29.8,2.6,21,110,92
IH48,Indian Head 1959,51.4,0.7,-27,102,124,169
IH49,Indian Head 1959,74.3,19.7,20.1,219,170,171
IH50,Indian Head 1959,18,0.7,-2,44,44,47
