"ID (company, number)	",Card_Name,L_star,A_star,B_star,R,G,B
BD64,"Brown, Durrell & Co. 1910s",58.88,-1.34,16.21,150,141,113
BD65,"Brown, Durrell & Co. 1910s",44.12,5.84,6.58,118,101,94
BD66,"Brown, Durrell & Co. 1910s",39.72,-2.87,4.99,92,95,85
BD67,"Brown, Durrell & Co. 1910s",65.93,-8.72,10.82,152,164,141
BD68,"Brown, Durrell & Co. 1910s",57.74,-11.59,3.83,119,144,132
BD69,"Brown, Durrell & Co. 1910s",52.67,-13.61,5.49,104,132,116
BD70,"Brown, Durrell & Co. 1910s",49.52,-1.41,7.03,120,118,106
BD71,"Brown, Durrell & Co. 1910s",40.5,1.87,8.41,104,94,82
BD72,"Brown, Durrell & Co. 1910s",33.46,2.2,-3.34,80,78,84
BD73,"Brown, Durrell & Co. 1910s",47.06,-0.54,1.27,112,112,109
BD74,"Brown, Durrell & Co. 1910s",54.28,0.94,2.39,133,129,126
BD75,"Brown, Durrell & Co. 1910s",65.26,-0.11,3.39,161,158,152
BD76,"Brown, Durrell & Co. 1910s",67.79,0.3,4.7,169,165,157
BD77,"Brown, Durrell & Co. 1910s",70.37,-0.99,2.89,173,172,167
BD78,"Brown, Durrell & Co. 1910s",65,-11.47,-8.42,125,164,172
BD79,"Brown, Durrell & Co. 1910s",65.34,-14.62,-5.13,123,167,167
BD80,"Brown, Durrell & Co. 1910s",57.72,-14.62,-13.29,91,147,161
BD81,"Brown, Durrell & Co. 1910s",84.1,2.59,46.86,242,206,120
BD82,"Brown, Durrell & Co. 1910s",83.54,3.23,54.97,244,203,102
BD83,"Brown, Durrell & Co. 1910s",80.41,9.21,68.36,248,191,63
BD84,"Brown, Durrell & Co. 1910s",76.99,11.92,70.08,242,179,49
BD85,"Brown, Durrell & Co. 1910s",68.35,1.98,-4.87,166,166,175
BD86,"Brown, Durrell & Co. 1910s",59.77,2.12,-5.88,143,143,154
BD87,"Brown, Durrell & Co. 1910s",38.54,2.18,-5.63,90,90,100
BD88,"Brown, Durrell & Co. 1910s",62.34,0.37,11.57,160,150,130
BD89,"Brown, Durrell & Co. 1910s",55.34,7.06,5.03,148,128,124
BD90,"Brown, Durrell & Co. 1910s",77.48,-8.75,-3.58,170,197,198
BD91,"Brown, Durrell & Co. 1910s",72.35,-10.95,-9.4,145,184,194
BD92,"Brown, Durrell & Co. 1910s",66.86,-12.76,-12.37,122,170,184
BD93,"Brown, Durrell & Co. 1910s",66.21,-12.57,-12.81,120,169,183
BD94,"Brown, Durrell & Co. 1910s",34.35,2.94,-34.62,34,82,136
BD95,"Brown, Durrell & Co. 1910s",24.19,4.39,-24.94,36,57,95
BD96,"Brown, Durrell & Co. 1910s",54.5,-12.1,19.85,122,135,96
BD97,"Brown, Durrell & Co. 1910s",56.37,-9.89,12.71,126,140,113
BD98,"Brown, Durrell & Co. 1910s",43.05,-12.64,-18.49,47,109,132
BD99,"Brown, Durrell & Co. 1910s",50.72,6.29,17.4,142,116,91
BD100,"Brown, Durrell & Co. 1910s",38.49,5.11,14.4,107,87,68
